"planar_mech"

"Time      "	".bodyC10.CM_Acceleration.X"
0.000000e+00	1.306414e+00
5.000000e-02	1.399358e+00
1.000000e-01	1.443808e+00
1.500000e-01	1.443656e+00
2.000000e-01	1.406721e+00
2.500000e-01	1.342436e+00
3.000000e-01	1.259306e+00
3.500000e-01	1.163113e+00
4.000000e-01	1.056385e+00
4.500000e-01	9.390773e-01
5.000000e-01	8.099075e-01
5.500000e-01	6.677229e-01
6.000000e-01	5.124453e-01
6.500000e-01	3.454321e-01
7.000000e-01	1.693387e-01
7.500000e-01	-1.230544e-02
8.000000e-01	-1.955784e-01
8.500000e-01	-3.765252e-01
9.000000e-01	-5.512905e-01
9.500000e-01	-7.160035e-01
1.000000e+00	-8.664806e-01
1.050000e+00	-9.979097e-01
1.100000e+00	-1.104754e+00
1.150000e+00	-1.181119e+00
1.200000e+00	-1.221659e+00
1.250000e+00	-1.222803e+00
1.300000e+00	-1.183779e+00
1.350000e+00	-1.106919e+00
1.400000e+00	-9.971058e-01
1.450000e+00	-8.606954e-01
1.500000e+00	-7.044740e-01
1.550000e+00	-5.350326e-01
1.600000e+00	-3.586184e-01
1.650000e+00	-1.812755e-01
1.700000e+00	-9.014366e-03
1.750000e+00	1.521981e-01
1.800000e+00	2.967216e-01
1.850000e+00	4.197760e-01
1.900000e+00	5.180977e-01
1.950000e+00	5.905204e-01
2.000000e+00	6.382655e-01
2.050000e+00	6.647801e-01
2.100000e+00	6.750830e-01
2.150000e+00	6.747269e-01
2.200000e+00	6.686135e-01
2.250000e+00	6.599582e-01
2.300000e+00	6.496576e-01
2.350000e+00	6.362086e-01
2.400000e+00	6.161711e-01
2.450000e+00	5.850360e-01
2.500000e+00	5.382669e-01
2.550000e+00	4.722697e-01
2.600000e+00	3.850871e-01
2.650000e+00	2.767153e-01
2.700000e+00	1.490453e-01
2.750000e+00	5.525269e-03
2.800000e+00	-1.493113e-01
2.850000e+00	-3.103033e-01
2.900000e+00	-4.719978e-01
2.950000e+00	-6.288235e-01
3.000000e+00	-7.751402e-01
3.050000e+00	-9.052700e-01
3.100000e+00	-1.013641e+00
3.150000e+00	-1.095127e+00
3.200000e+00	-1.145544e+00
3.250000e+00	-1.162172e+00
3.300000e+00	-1.144121e+00
3.350000e+00	-1.092441e+00
3.400000e+00	-1.009970e+00
3.450000e+00	-9.009397e-01
3.500000e+00	-7.704739e-01
3.550000e+00	-6.241162e-01
3.600000e+00	-4.675160e-01
3.650000e+00	-3.062951e-01
3.700000e+00	-1.460131e-01
3.750000e+00	7.892736e-03
3.800000e+00	1.502915e-01
3.850000e+00	2.766991e-01
3.900000e+00	3.837314e-01
3.950000e+00	4.695604e-01
4.000000e+00	5.342292e-01
4.050000e+00	5.796881e-01
4.100000e+00	6.094664e-01
4.150000e+00	6.279844e-01
4.200000e+00	6.396147e-01
4.250000e+00	6.476886e-01
4.300000e+00	6.536805e-01
4.350000e+00	6.567834e-01
4.400000e+00	6.539980e-01
4.450000e+00	6.407347e-01
4.500000e+00	6.117887e-01
4.550000e+00	5.624502e-01
4.600000e+00	4.894778e-01
4.650000e+00	3.917175e-01
4.700000e+00	2.702662e-01
4.750000e+00	1.282152e-01
4.800000e+00	-2.987992e-02
4.850000e+00	-1.986059e-01
4.900000e+00	-3.721894e-01
4.950000e+00	-5.447674e-01
5.000000e+00	-7.104057e-01


