"planar_mech"

"Time      "	".bodyC10.CM_Acceleration.Y"
0.000000e+00	-4.489717e-02
5.000000e-02	-1.876855e-02
1.000000e-01	-3.592474e-03
1.500000e-01	-3.084080e-03
2.000000e-01	-1.817840e-02
2.500000e-01	-4.724318e-02
3.000000e-01	-8.679552e-02
3.500000e-01	-1.323664e-01
4.000000e-01	-1.791974e-01
4.500000e-01	-2.226411e-01
5.000000e-01	-2.583330e-01
5.500000e-01	-2.822853e-01
6.000000e-01	-2.910211e-01
6.500000e-01	-2.817785e-01
7.000000e-01	-2.527420e-01
7.500000e-01	-2.032358e-01
8.000000e-01	-1.338395e-01
8.500000e-01	-4.642798e-02
9.000000e-01	5.582420e-02
9.500000e-01	1.684267e-01
1.000000e+00	2.855337e-01
1.050000e+00	3.999504e-01
1.100000e+00	5.033650e-01
1.150000e+00	5.870410e-01
1.200000e+00	6.430972e-01
1.250000e+00	6.661578e-01
1.300000e+00	6.547529e-01
1.350000e+00	6.117468e-01
1.400000e+00	5.435094e-01
1.450000e+00	4.582248e-01
1.500000e+00	3.641051e-01
1.550000e+00	2.681099e-01
1.600000e+00	1.753334e-01
1.650000e+00	8.889888e-02
1.700000e+00	1.012351e-02
1.750000e+00	-6.120185e-02
1.800000e+00	-1.264577e-01
1.850000e+00	-1.877445e-01
1.900000e+00	-2.473167e-01
1.950000e+00	-3.069433e-01
2.000000e+00	-3.673067e-01
2.050000e+00	-4.276059e-01
2.100000e+00	-4.855139e-01
2.150000e+00	-5.375579e-01
2.200000e+00	-5.798475e-01
2.250000e+00	-6.089473e-01
2.300000e+00	-6.226175e-01
2.350000e+00	-6.201924e-01
2.400000e+00	-6.024987e-01
2.450000e+00	-5.713869e-01
2.500000e+00	-5.290763e-01
2.550000e+00	-4.775515e-01
2.600000e+00	-4.181861e-01
2.650000e+00	-3.516610e-01
2.700000e+00	-2.781334e-01
2.750000e+00	-1.975520e-01
2.800000e+00	-1.100070e-01
2.850000e+00	-1.604530e-02
2.900000e+00	8.306997e-02
2.950000e+00	1.851338e-01
3.000000e+00	2.867921e-01
3.050000e+00	3.833948e-01
3.100000e+00	4.690487e-01
3.150000e+00	5.370856e-01
3.200000e+00	5.810880e-01
3.250000e+00	5.963263e-01
3.300000e+00	5.810738e-01
3.350000e+00	5.371403e-01
3.400000e+00	4.693188e-01
3.450000e+00	3.840533e-01
3.500000e+00	2.879919e-01
3.550000e+00	1.869598e-01
3.600000e+00	8.549554e-02
3.650000e+00	-1.319078e-02
3.700000e+00	-1.070555e-01
3.750000e+00	-1.949971e-01
3.800000e+00	-2.766109e-01
3.850000e+00	-3.519096e-01
3.900000e+00	-4.209899e-01
3.950000e+00	-4.836672e-01
4.000000e+00	-5.391543e-01
4.050000e+00	-5.858950e-01
4.100000e+00	-6.216578e-01
4.150000e+00	-6.439328e-01
4.200000e+00	-6.505603e-01
4.250000e+00	-6.404132e-01
4.300000e+00	-6.138930e-01
4.350000e+00	-5.730381e-01
4.400000e+00	-5.211705e-01
4.450000e+00	-4.621731e-01
4.500000e+00	-3.996259e-01
4.550000e+00	-3.360694e-01
4.600000e+00	-2.726010e-01
4.650000e+00	-2.088779e-01
4.700000e+00	-1.434704e-01
4.750000e+00	-7.442101e-02
4.800000e+00	1.453796e-04
4.850000e+00	8.147239e-02
4.900000e+00	1.697232e-01
4.950000e+00	2.636197e-01
5.000000e+00	3.601507e-01


