"planar_mech"

"Time      "	".bodyC10.CM_Velocity.X"
0.000000e+00	-1.620891e-01
5.000000e-02	-9.424125e-02
1.000000e-01	-2.296448e-02
1.500000e-01	4.939391e-02
2.000000e-01	1.207872e-01
2.500000e-01	1.896108e-01
3.000000e-01	2.547183e-01
3.500000e-01	3.153256e-01
4.000000e-01	3.708555e-01
4.500000e-01	4.207884e-01
5.000000e-01	4.645654e-01
5.500000e-01	5.015616e-01
6.000000e-01	5.311186e-01
6.500000e-01	5.526098e-01
7.000000e-01	5.655100e-01
7.500000e-01	5.694510e-01
8.000000e-01	5.642523e-01
8.500000e-01	5.499320e-01
9.000000e-01	5.267029e-01
9.500000e-01	4.949703e-01
1.000000e+00	4.553394e-01
1.050000e+00	4.086392e-01
1.100000e+00	3.559579e-01
1.150000e+00	2.986721e-01
1.200000e+00	2.384441e-01
1.250000e+00	1.771644e-01
1.300000e+00	1.168351e-01
1.350000e+00	5.941861e-02
1.400000e+00	6.693253e-03
1.450000e+00	-3.984848e-02
1.500000e+00	-7.904626e-02
1.550000e+00	-1.100758e-01
1.600000e+00	-1.324334e-01
1.650000e+00	-1.459221e-01
1.700000e+00	-1.506457e-01
1.750000e+00	-1.470079e-01
1.800000e+00	-1.357045e-01
1.850000e+00	-1.176944e-01
1.900000e+00	-9.414028e-02
1.950000e+00	-6.631762e-02
2.000000e+00	-3.550081e-02
2.050000e+00	-2.845813e-03
2.100000e+00	3.070670e-02
2.150000e+00	6.448521e-02
2.200000e+00	9.808440e-02
2.250000e+00	1.313055e-01
2.300000e+00	1.640542e-01
2.350000e+00	1.962199e-01
2.400000e+00	2.275658e-01
2.450000e+00	2.576521e-01
2.500000e+00	2.858083e-01
2.550000e+00	3.111574e-01
2.600000e+00	3.326811e-01
2.650000e+00	3.493118e-01
2.700000e+00	3.600301e-01
2.750000e+00	3.639516e-01
2.800000e+00	3.603937e-01
2.850000e+00	3.489177e-01
2.900000e+00	3.293516e-01
2.950000e+00	3.017991e-01
3.000000e+00	2.666443e-01
3.050000e+00	2.245549e-01
3.100000e+00	1.764802e-01
3.150000e+00	1.236394e-01
3.200000e+00	6.748616e-02
3.250000e+00	9.649123e-03
3.300000e+00	-4.815197e-02
3.350000e+00	-1.042015e-01
3.400000e+00	-1.568821e-01
3.450000e+00	-2.047553e-01
3.500000e+00	-2.466186e-01
3.550000e+00	-2.815378e-01
3.600000e+00	-3.088595e-01
3.650000e+00	-3.282124e-01
3.700000e+00	-3.395048e-01
3.750000e+00	-3.429202e-01
3.800000e+00	-3.389076e-01
3.850000e+00	-3.281582e-01
3.900000e+00	-3.115615e-01
3.950000e+00	-2.901395e-01
4.000000e+00	-2.649592e-01
4.050000e+00	-2.370376e-01
4.100000e+00	-2.072523e-01
4.150000e+00	-1.762786e-01
4.200000e+00	-1.445680e-01
4.250000e+00	-1.123754e-01
4.300000e+00	-7.983258e-02
4.350000e+00	-4.705422e-02
4.400000e+00	-1.425147e-02
4.450000e+00	1.817131e-02
4.500000e+00	4.956034e-02
4.550000e+00	7.900946e-02
4.600000e+00	1.054103e-01
4.650000e+00	1.275428e-01
4.700000e+00	1.441860e-01
4.750000e+00	1.542253e-01
4.800000e+00	1.567397e-01
4.850000e+00	1.510599e-01
4.900000e+00	1.367981e-01
4.950000e+00	1.138577e-01
5.000000e+00	8.243692e-02


