"planar_mech"

"Time      "	".bodyC10.CM_Velocity.Y"
0.000000e+00	1.050962e-01
5.000000e-02	1.035391e-01
1.000000e-01	1.030355e-01
1.500000e-01	1.029338e-01
2.000000e-01	1.024655e-01
2.500000e-01	1.008820e-01
3.000000e-01	9.756590e-02
3.500000e-01	9.210204e-02
4.000000e-01	8.430834e-02
4.500000e-01	7.423892e-02
5.000000e-01	6.217363e-02
5.500000e-01	4.860156e-02
6.000000e-01	3.419911e-02
6.500000e-01	1.979962e-02
7.000000e-01	6.351793e-03
7.500000e-01	-5.132717e-03
8.000000e-01	-1.363956e-02
8.500000e-01	-1.821569e-02
9.000000e-01	-1.803429e-02
9.500000e-01	-1.246001e-02
1.000000e+00	-1.115779e-03
1.050000e+00	1.604917e-02
1.100000e+00	3.869617e-02
1.150000e+00	6.605625e-02
1.200000e+00	9.693853e-02
1.250000e+00	1.298138e-01
1.300000e+00	1.629774e-01
1.350000e+00	1.947604e-01
1.400000e+00	2.237305e-01
1.450000e+00	2.488272e-01
1.500000e+00	2.694065e-01
1.550000e+00	2.852076e-01
1.600000e+00	2.962723e-01
1.650000e+00	3.028476e-01
1.700000e+00	3.052907e-01
1.750000e+00	3.039848e-01
1.800000e+00	2.992720e-01
1.850000e+00	2.914053e-01
1.900000e+00	2.805259e-01
1.950000e+00	2.666721e-01
2.000000e+00	2.498184e-01
2.050000e+00	2.299416e-01
2.100000e+00	2.070970e-01
2.150000e+00	1.814877e-01
2.200000e+00	1.535041e-01
2.250000e+00	1.237235e-01
2.300000e+00	9.286742e-02
2.350000e+00	6.173082e-02
2.400000e+00	3.110324e-02
2.450000e+00	1.704789e-03
2.500000e+00	-2.584895e-02
2.550000e+00	-5.104963e-02
2.600000e+00	-7.347382e-02
2.650000e+00	-9.274921e-02
2.700000e+00	-1.085233e-01
2.750000e+00	-1.204449e-01
2.800000e+00	-1.281622e-01
2.850000e+00	-1.313383e-01
2.900000e+00	-1.296803e-01
2.950000e+00	-1.229815e-01
3.000000e+00	-1.111730e-01
3.050000e+00	-9.438581e-02
3.100000e+00	-7.301550e-02
3.150000e+00	-4.777467e-02
3.200000e+00	-1.970846e-02
3.250000e+00	9.853012e-03
3.300000e+00	3.941395e-02
3.350000e+00	6.748066e-02
3.400000e+00	9.272892e-02
3.450000e+00	1.141217e-01
3.500000e+00	1.309548e-01
3.550000e+00	1.428388e-01
3.600000e+00	1.496443e-01
3.650000e+00	1.514353e-01
3.700000e+00	1.484062e-01
3.750000e+00	1.408289e-01
3.800000e+00	1.290121e-01
3.850000e+00	1.132731e-01
3.900000e+00	9.392466e-02
3.950000e+00	7.128047e-02
4.000000e+00	4.567733e-02
4.050000e+00	1.751042e-02
4.100000e+00	-1.272937e-02
4.150000e+00	-4.443037e-02
4.200000e+00	-7.686127e-02
4.250000e+00	-1.092060e-01
4.300000e+00	-1.406288e-01
4.350000e+00	-1.703556e-01
4.400000e+00	-1.977487e-01
4.450000e+00	-2.223540e-01
4.500000e+00	-2.439075e-01
4.550000e+00	-2.623006e-01
4.600000e+00	-2.775167e-01
4.650000e+00	-2.895571e-01
4.700000e+00	-2.983767e-01
4.750000e+00	-3.038434e-01
4.800000e+00	-3.057265e-01
4.850000e+00	-3.037155e-01
4.900000e+00	-2.974631e-01
4.950000e+00	-2.866482e-01
5.000000e+00	-2.710561e-01


