"planar_mech"

"Time      "	".bodyC10.CM_Position.Y"
0.000000e+00	-4.869734e-01
5.000000e-02	-4.817630e-01
1.000000e-01	-4.766018e-01
1.500000e-01	-4.714527e-01
2.000000e-01	-4.663145e-01
2.500000e-01	-4.612248e-01
3.000000e-01	-4.562553e-01
3.500000e-01	-4.515041e-01
4.000000e-01	-4.470841e-01
4.500000e-01	-4.431113e-01
5.000000e-01	-4.396936e-01
5.500000e-01	-4.369192e-01
6.000000e-01	-4.348474e-01
6.500000e-01	-4.334993e-01
7.000000e-01	-4.328516e-01
7.500000e-01	-4.328314e-01
8.000000e-01	-4.333152e-01
8.500000e-01	-4.341298e-01
9.000000e-01	-4.350573e-01
9.500000e-01	-4.358432e-01
1.000000e+00	-4.362070e-01
1.050000e+00	-4.358575e-01
1.100000e+00	-4.345105e-01
1.150000e+00	-4.319091e-01
1.200000e+00	-4.278459e-01
1.250000e+00	-4.221820e-01
1.300000e+00	-4.148598e-01
1.350000e+00	-4.059074e-01
1.400000e+00	-3.954308e-01
1.450000e+00	-3.835991e-01
1.500000e+00	-3.706236e-01
1.550000e+00	-3.567383e-01
1.600000e+00	-3.421819e-01
1.650000e+00	-3.271859e-01
1.700000e+00	-3.119660e-01
1.750000e+00	-2.967193e-01
1.800000e+00	-2.816243e-01
1.850000e+00	-2.668446e-01
1.900000e+00	-2.525339e-01
1.950000e+00	-2.388416e-01
2.000000e+00	-2.259167e-01
2.050000e+00	-2.139101e-01
2.100000e+00	-2.029721e-01
2.150000e+00	-1.932466e-01
2.200000e+00	-1.848630e-01
2.250000e+00	-1.779263e-01
2.300000e+00	-1.725086e-01
2.350000e+00	-1.686442e-01
2.400000e+00	-1.663270e-01
2.450000e+00	-1.655133e-01
2.500000e+00	-1.661257e-01
2.550000e+00	-1.680589e-01
2.600000e+00	-1.711844e-01
2.650000e+00	-1.753538e-01
2.700000e+00	-1.804010e-01
2.750000e+00	-1.861420e-01
2.800000e+00	-1.923754e-01
2.850000e+00	-1.988825e-01
2.900000e+00	-2.054286e-01
2.950000e+00	-2.117664e-01
3.000000e+00	-2.176415e-01
3.050000e+00	-2.228006e-01
3.100000e+00	-2.270035e-01
3.150000e+00	-2.300374e-01
3.200000e+00	-2.317337e-01
3.250000e+00	-2.319833e-01
3.300000e+00	-2.307484e-01
3.350000e+00	-2.280669e-01
3.400000e+00	-2.240475e-01
3.450000e+00	-2.188584e-01
3.500000e+00	-2.127115e-01
3.550000e+00	-2.058456e-01
3.600000e+00	-1.985123e-01
3.650000e+00	-1.909648e-01
3.700000e+00	-1.834492e-01
3.750000e+00	-1.762000e-01
3.800000e+00	-1.694370e-01
3.850000e+00	-1.633641e-01
3.900000e+00	-1.581698e-01
3.950000e+00	-1.540266e-01
4.000000e+00	-1.510911e-01
4.050000e+00	-1.495017e-01
4.100000e+00	-1.493747e-01
4.150000e+00	-1.507990e-01
4.200000e+00	-1.538299e-01
4.250000e+00	-1.584837e-01
4.300000e+00	-1.647351e-01
4.350000e+00	-1.725183e-01
4.400000e+00	-1.817317e-01
4.450000e+00	-1.922466e-01
4.500000e+00	-2.039161e-01
4.550000e+00	-2.165846e-01
4.600000e+00	-2.300932e-01
4.650000e+00	-2.442834e-01
4.700000e+00	-2.589953e-01
4.750000e+00	-2.740652e-01
4.800000e+00	-2.893200e-01
4.850000e+00	-3.045730e-01
4.900000e+00	-3.196208e-01
4.950000e+00	-3.342432e-01
5.000000e+00	-3.482059e-01


