"planar_mech"

"Time      "	".bodyC10.CM_Angular_Velocity.Z"
0.000000e+00	3.901550e+01
5.000000e-02	3.214970e+01
1.000000e-01	2.446114e+01
1.500000e-01	1.612795e+01
2.000000e-01	7.361732e+00
2.500000e-01	-1.603184e+00
3.000000e-01	-1.052462e+01
3.500000e-01	-1.916835e+01
4.000000e-01	-2.732160e+01
4.500000e-01	-3.480206e+01
5.000000e-01	-4.146154e+01
5.500000e-01	-4.718508e+01
6.000000e-01	-5.188637e+01
6.500000e-01	-5.550113e+01
7.000000e-01	-5.797951e+01
7.500000e-01	-5.927859e+01
8.000000e-01	-5.935592e+01
8.500000e-01	-5.816544e+01
9.000000e-01	-5.565709e+01
9.500000e-01	-5.178223e+01
1.000000e+00	-4.650687e+01
1.050000e+00	-3.983398e+01
1.100000e+00	-3.183295e+01
1.150000e+00	-2.266960e+01
1.200000e+00	-1.262443e+01
1.250000e+00	-2.085627e+00
1.300000e+00	8.489595e+00
1.350000e+00	1.863706e+01
1.400000e+00	2.794981e+01
1.450000e+00	3.612211e+01
1.500000e+00	4.296244e+01
1.550000e+00	4.837993e+01
1.600000e+00	5.235667e+01
1.650000e+00	5.491878e+01
1.700000e+00	5.611352e+01
1.750000e+00	5.599512e+01
1.800000e+00	5.461862e+01
1.850000e+00	5.203964e+01
1.900000e+00	4.831802e+01
1.950000e+00	4.352355e+01
2.000000e+00	3.774215e+01
2.050000e+00	3.108136e+01
2.100000e+00	2.367390e+01
2.150000e+00	1.567847e+01
2.200000e+00	7.277097e+00
2.250000e+00	-1.330707e+00
2.300000e+00	-9.936607e+00
2.350000e+00	-1.833345e+01
2.400000e+00	-2.632508e+01
2.450000e+00	-3.373446e+01
2.500000e+00	-4.040877e+01
2.550000e+00	-4.622117e+01
2.600000e+00	-5.106910e+01
2.650000e+00	-5.486994e+01
2.700000e+00	-5.755468e+01
2.750000e+00	-5.906094e+01
2.800000e+00	-5.932643e+01
2.850000e+00	-5.828442e+01
2.900000e+00	-5.586326e+01
2.950000e+00	-5.199258e+01
3.000000e+00	-4.661861e+01
3.050000e+00	-3.973038e+01
3.100000e+00	-3.139457e+01
3.150000e+00	-2.179085e+01
3.200000e+00	-1.123270e+01
3.250000e+00	-1.573504e-01
3.300000e+00	1.092227e+01
3.350000e+00	2.149248e+01
3.400000e+00	3.111405e+01
3.450000e+00	3.947087e+01
3.500000e+00	4.638063e+01
3.550000e+00	5.177453e+01
3.600000e+00	5.566212e+01
3.650000e+00	5.809646e+01
3.700000e+00	5.914779e+01
3.750000e+00	5.888799e+01
3.800000e+00	5.738432e+01
3.850000e+00	5.469977e+01
3.900000e+00	5.089750e+01
3.950000e+00	4.604731e+01
4.000000e+00	4.023262e+01
4.050000e+00	3.355667e+01
4.100000e+00	2.614687e+01
4.150000e+00	1.815641e+01
4.200000e+00	9.762436e+00
4.250000e+00	1.160939e+00
4.300000e+00	-7.441364e+00
4.350000e+00	-1.583679e+01
4.400000e+00	-2.382663e+01
4.450000e+00	-3.122962e+01
4.500000e+00	-3.788779e+01
4.550000e+00	-4.366892e+01
4.600000e+00	-4.846569e+01
4.650000e+00	-5.219206e+01
4.700000e+00	-5.477775e+01
4.750000e+00	-5.616206e+01
4.800000e+00	-5.628809e+01
4.850000e+00	-5.509916e+01
4.900000e+00	-5.253905e+01
4.950000e+00	-4.855833e+01
5.000000e+00	-4.312878e+01


