"planar_mech"

"Time      "	".bodyC10.CM_Angular_Acceleration.Z"
0.000000e+00	-2.235617e+00
5.000000e-02	-2.549485e+00
1.000000e-01	-2.807752e+00
1.500000e-01	-2.997537e+00
2.000000e-01	-3.108715e+00
2.500000e-01	-3.135793e+00
3.000000e-01	-3.078836e+00
3.500000e-01	-2.943194e+00
4.000000e-01	-2.738224e+00
4.500000e-01	-2.475505e+00
5.000000e-01	-2.167032e+00
5.500000e-01	-1.823769e+00
6.000000e-01	-1.454654e+00
6.500000e-01	-1.066071e+00
7.000000e-01	-6.617093e-01
7.500000e-01	-2.427712e-01
8.000000e-01	1.914604e-01
8.500000e-01	6.425916e-01
9.000000e-01	1.111472e+00
9.500000e-01	1.595803e+00
1.000000e+00	2.087097e+00
1.050000e+00	2.567607e+00
1.100000e+00	3.008636e+00
1.150000e+00	3.372236e+00
1.200000e+00	3.617801e+00
1.250000e+00	3.712693e+00
1.300000e+00	3.642806e+00
1.350000e+00	3.417518e+00
1.400000e+00	3.066151e+00
1.450000e+00	2.628138e+00
1.500000e+00	2.142202e+00
1.550000e+00	1.639049e+00
1.600000e+00	1.138896e+00
1.650000e+00	6.526277e-01
1.700000e+00	1.846459e-01
1.750000e+00	-2.641029e-01
1.800000e+00	-6.936628e-01
1.850000e+00	-1.103361e+00
1.900000e+00	-1.490797e+00
1.950000e+00	-1.851411e+00
2.000000e+00	-2.178533e+00
2.050000e+00	-2.463858e+00
2.100000e+00	-2.698273e+00
2.150000e+00	-2.872969e+00
2.200000e+00	-2.980636e+00
2.250000e+00	-3.016564e+00
2.300000e+00	-2.979377e+00
2.350000e+00	-2.871264e+00
2.400000e+00	-2.697620e+00
2.450000e+00	-2.466202e+00
2.500000e+00	-2.185977e+00
2.550000e+00	-1.865901e+00
2.600000e+00	-1.513825e+00
2.650000e+00	-1.135685e+00
2.700000e+00	-7.350265e-01
2.750000e+00	-3.129489e-01
2.800000e+00	1.314785e-01
2.850000e+00	6.001876e-01
2.900000e+00	1.094280e+00
2.950000e+00	1.611246e+00
3.000000e+00	2.141340e+00
3.050000e+00	2.663892e+00
3.100000e+00	3.145284e+00
3.150000e+00	3.541087e+00
3.200000e+00	3.804166e+00
3.250000e+00	3.897586e+00
3.300000e+00	3.807102e+00
3.350000e+00	3.546452e+00
3.400000e+00	3.152226e+00
3.450000e+00	2.671457e+00
3.500000e+00	2.148680e+00
3.550000e+00	1.617738e+00
3.600000e+00	1.099557e+00
3.650000e+00	6.041083e-01
3.700000e+00	1.340716e-01
3.750000e+00	-3.115392e-01
3.800000e+00	-7.345827e-01
3.850000e+00	-1.135948e+00
3.900000e+00	-1.514516e+00
3.950000e+00	-1.866740e+00
4.000000e+00	-2.186702e+00
4.050000e+00	-2.466589e+00
4.100000e+00	-2.697503e+00
4.150000e+00	-2.870557e+00
4.200000e+00	-2.978090e+00
4.250000e+00	-3.014803e+00
4.300000e+00	-2.978596e+00
4.350000e+00	-2.870906e+00
4.400000e+00	-2.696472e+00
4.450000e+00	-2.462587e+00
4.500000e+00	-2.178008e+00
4.550000e+00	-1.851761e+00
4.600000e+00	-1.492043e+00
4.650000e+00	-1.105400e+00
4.700000e+00	-6.962588e-01
4.750000e+00	-2.668824e-01
4.800000e+00	1.821939e-01
4.850000e+00	6.511415e-01
4.900000e+00	1.139112e+00
4.950000e+00	1.641735e+00
5.000000e+00	2.148039e+00


