"planar_mech"

"Time      "	".K.Translational_Acceleration.X"
0.000000e+00	1.754531e+00
5.000000e-02	1.960259e+00
1.000000e-01	2.108066e+00
1.500000e-01	2.196702e+00
2.000000e-01	2.228394e+00
2.500000e-01	2.207339e+00
3.000000e-01	2.138109e+00
3.500000e-01	2.024591e+00
4.000000e-01	1.869800e+00
4.500000e-01	1.676398e+00
5.000000e-01	1.447533e+00
5.500000e-01	1.187520e+00
6.000000e-01	9.021152e-01
6.500000e-01	5.983031e-01
7.000000e-01	2.837453e-01
7.500000e-01	-3.392472e-02
8.000000e-01	-3.477320e-01
8.500000e-01	-6.517387e-01
9.000000e-01	-9.410488e-01
9.500000e-01	-1.211390e+00
1.000000e+00	-1.458332e+00
1.050000e+00	-1.676373e+00
1.100000e+00	-1.858292e+00
1.150000e+00	-1.995320e+00
1.200000e+00	-2.078477e+00
1.250000e+00	-2.100851e+00
1.300000e+00	-2.059848e+00
1.350000e+00	-1.958183e+00
1.400000e+00	-1.803011e+00
1.450000e+00	-1.603784e+00
1.500000e+00	-1.370035e+00
1.550000e+00	-1.110068e+00
1.600000e+00	-8.307647e-01
1.650000e+00	-5.381414e-01
1.700000e+00	-2.381186e-01
1.750000e+00	6.290790e-02
1.800000e+00	3.578972e-01
1.850000e+00	6.394089e-01
1.900000e+00	9.001504e-01
1.950000e+00	1.133637e+00
2.000000e+00	1.334755e+00
2.050000e+00	1.500060e+00
2.100000e+00	1.627714e+00
2.150000e+00	1.717114e+00
2.200000e+00	1.768323e+00
2.250000e+00	1.781525e+00
2.300000e+00	1.756673e+00
2.350000e+00	1.693458e+00
2.400000e+00	1.591586e+00
2.450000e+00	1.451284e+00
2.500000e+00	1.273840e+00
2.550000e+00	1.062023e+00
2.600000e+00	8.202261e-01
2.650000e+00	5.542919e-01
2.700000e+00	2.710646e-01
2.750000e+00	-2.221870e-02
2.800000e+00	-3.185270e-01
2.850000e+00	-6.114561e-01
2.900000e+00	-8.953288e-01
2.950000e+00	-1.164898e+00
3.000000e+00	-1.414688e+00
3.050000e+00	-1.638187e+00
3.100000e+00	-1.827293e+00
3.150000e+00	-1.972536e+00
3.200000e+00	-2.064451e+00
3.250000e+00	-2.095845e+00
3.300000e+00	-2.064018e+00
3.350000e+00	-1.971687e+00
3.400000e+00	-1.826062e+00
3.450000e+00	-1.636627e+00
3.500000e+00	-1.412872e+00
3.550000e+00	-1.162926e+00
3.600000e+00	-8.933269e-01
3.650000e+00	-6.095753e-01
3.700000e+00	-3.169357e-01
3.750000e+00	-2.108922e-02
3.800000e+00	2.715742e-01
3.850000e+00	5.540563e-01
3.900000e+00	8.191662e-01
3.950000e+00	1.060109e+00
4.000000e+00	1.271075e+00
4.050000e+00	1.447677e+00
4.100000e+00	1.587115e+00
4.150000e+00	1.688030e+00
4.200000e+00	1.750112e+00
4.250000e+00	1.773585e+00
4.300000e+00	1.758740e+00
4.350000e+00	1.705678e+00
4.400000e+00	1.614352e+00
4.450000e+00	1.484896e+00
4.500000e+00	1.318136e+00
4.550000e+00	1.116100e+00
4.600000e+00	8.823594e-01
4.650000e+00	6.220582e-01
4.700000e+00	3.416208e-01
4.750000e+00	4.820818e-02
4.800000e+00	-2.509086e-01
4.850000e+00	-5.488616e-01
4.900000e+00	-8.394042e-01
4.950000e+00	-1.116725e+00
5.000000e+00	-1.374873e+00


