"planar_mech"

"Time      "	".K.Translational_Acceleration.Y"
0.000000e+00	-3.968590e-01
5.000000e-02	-3.330918e-01
1.000000e-01	-2.744173e-01
1.500000e-01	-2.309068e-01
2.000000e-01	-2.097577e-01
2.500000e-01	-2.145194e-01
3.000000e-01	-2.448665e-01
3.500000e-01	-2.968449e-01
4.000000e-01	-3.634656e-01
4.500000e-01	-4.355388e-01
5.000000e-01	-5.026634e-01
5.500000e-01	-5.542877e-01
6.000000e-01	-5.807329e-01
6.500000e-01	-5.740635e-01
7.000000e-01	-5.287155e-01
7.500000e-01	-4.418517e-01
8.000000e-01	-3.134875e-01
8.500000e-01	-1.464910e-01
9.000000e-01	5.340734e-02
9.500000e-01	2.774857e-01
1.000000e+00	5.137823e-01
1.050000e+00	7.469312e-01
1.100000e+00	9.585429e-01
1.150000e+00	1.128724e+00
1.200000e+00	1.239058e+00
1.250000e+00	1.276561e+00
1.300000e+00	1.237126e+00
1.350000e+00	1.126737e+00
1.400000e+00	9.597453e-01
1.450000e+00	7.550990e-01
1.500000e+00	5.323347e-01
1.550000e+00	3.087283e-01
1.600000e+00	9.797968e-02
1.650000e+00	-8.997148e-02
1.700000e+00	-2.486166e-01
1.750000e+00	-3.744687e-01
1.800000e+00	-4.667418e-01
1.850000e+00	-5.270959e-01
1.900000e+00	-5.593457e-01
1.950000e+00	-5.690427e-01
2.000000e+00	-5.628944e-01
2.050000e+00	-5.480564e-01
2.100000e+00	-5.313775e-01
2.150000e+00	-5.187014e-01
2.200000e+00	-5.143022e-01
2.250000e+00	-5.205045e-01
2.300000e+00	-5.374967e-01
2.350000e+00	-5.633352e-01
2.400000e+00	-5.941278e-01
2.450000e+00	-6.243931e-01
2.500000e+00	-6.475788e-01
2.550000e+00	-6.567067e-01
2.600000e+00	-6.450782e-01
2.650000e+00	-6.069585e-01
2.700000e+00	-5.381520e-01
2.750000e+00	-4.364169e-01
2.800000e+00	-3.017120e-01
2.850000e+00	-1.363268e-01
2.900000e+00	5.501210e-02
2.950000e+00	2.649730e-01
3.000000e+00	4.833770e-01
3.050000e+00	6.970391e-01
3.100000e+00	8.900666e-01
3.150000e+00	1.045119e+00
3.200000e+00	1.145926e+00
3.250000e+00	1.180681e+00
3.300000e+00	1.145094e+00
3.350000e+00	1.043615e+00
3.400000e+00	8.881681e-01
3.450000e+00	6.950731e-01
3.500000e+00	4.816458e-01
3.550000e+00	2.636974e-01
3.600000e+00	5.429546e-02
3.650000e+00	-1.365151e-01
3.700000e+00	-3.015374e-01
3.750000e+00	-4.361692e-01
3.800000e+00	-5.382236e-01
3.850000e+00	-6.078133e-01
3.900000e+00	-6.472113e-01
3.950000e+00	-6.605969e-01
4.000000e+00	-6.536383e-01
4.050000e+00	-6.329193e-01
4.100000e+00	-6.052645e-01
4.150000e+00	-5.770455e-01
4.200000e+00	-5.535537e-01
4.250000e+00	-5.384980e-01
4.300000e+00	-5.336641e-01
4.350000e+00	-5.387462e-01
4.400000e+00	-5.513587e-01
4.450000e+00	-5.672331e-01
4.500000e+00	-5.806033e-01
4.550000e+00	-5.847633e-01
4.600000e+00	-5.727518e-01
4.650000e+00	-5.380816e-01
4.700000e+00	-4.754216e-01
4.750000e+00	-3.811519e-01
4.800000e+00	-2.537637e-01
4.850000e+00	-9.413849e-02
4.900000e+00	9.420295e-02
4.950000e+00	3.047833e-01
5.000000e+00	5.277625e-01


