"planar_mech"

"Time      "	".K.Translational_Velocity.X"
0.000000e+00	-4.024313e-01
5.000000e-02	-3.093283e-01
1.000000e-01	-2.073732e-01
1.500000e-01	-9.950990e-02
2.000000e-01	1.134688e-02
2.500000e-01	1.224502e-01
3.000000e-01	2.312783e-01
3.500000e-01	3.355235e-01
4.000000e-01	4.330497e-01
4.500000e-01	5.218597e-01
5.000000e-01	6.000978e-01
5.500000e-01	6.660930e-01
6.000000e-01	7.184259e-01
6.500000e-01	7.559973e-01
7.000000e-01	7.780771e-01
7.500000e-01	7.843204e-01
8.000000e-01	7.747496e-01
8.500000e-01	7.497111e-01
9.000000e-01	7.098211e-01
9.500000e-01	6.559223e-01
1.000000e+00	5.890715e-01
1.050000e+00	5.105698e-01
1.100000e+00	4.220353e-01
1.150000e+00	3.254886e-01
1.200000e+00	2.234022e-01
1.250000e+00	1.186564e-01
1.300000e+00	1.437651e-02
1.350000e+00	-8.631479e-02
1.400000e+00	-1.805487e-01
1.450000e+00	-2.658817e-01
1.500000e+00	-3.403525e-01
1.550000e+00	-4.024491e-01
1.600000e+00	-4.510376e-01
1.650000e+00	-4.853036e-01
1.700000e+00	-5.047281e-01
1.750000e+00	-5.090983e-01
1.800000e+00	-4.985377e-01
1.850000e+00	-4.735333e-01
1.900000e+00	-4.349434e-01
1.950000e+00	-3.839733e-01
2.000000e+00	-3.221201e-01
2.050000e+00	-2.510956e-01
2.100000e+00	-1.727424e-01
2.150000e+00	-8.896211e-02
2.200000e+00	-1.667507e-03
2.250000e+00	8.723693e-02
2.300000e+00	1.758509e-01
2.350000e+00	2.622649e-01
2.400000e+00	3.445522e-01
2.450000e+00	4.207824e-01
2.500000e+00	4.890607e-01
2.550000e+00	5.475926e-01
2.600000e+00	5.947625e-01
2.650000e+00	6.292123e-01
2.700000e+00	6.499033e-01
2.750000e+00	6.561513e-01
2.800000e+00	6.476313e-01
2.850000e+00	6.243554e-01
2.900000e+00	5.866369e-01
2.950000e+00	5.350608e-01
3.000000e+00	4.704762e-01
3.050000e+00	3.940292e-01
3.100000e+00	3.072299e-01
3.150000e+00	2.120309e-01
3.200000e+00	1.108663e-01
3.250000e+00	6.597060e-03
3.300000e+00	-9.766136e-02
3.350000e+00	-1.987938e-01
3.400000e+00	-2.939406e-01
3.450000e+00	-3.806698e-01
3.500000e+00	-4.570321e-01
3.550000e+00	-5.215214e-01
3.600000e+00	-5.729977e-01
3.650000e+00	-6.106184e-01
3.700000e+00	-6.338068e-01
3.750000e+00	-6.422581e-01
3.800000e+00	-6.359684e-01
3.850000e+00	-6.152702e-01
3.900000e+00	-5.808526e-01
3.950000e+00	-5.337569e-01
4.000000e+00	-4.753421e-01
4.050000e+00	-4.072231e-01
4.100000e+00	-3.311946e-01
4.150000e+00	-2.491542e-01
4.200000e+00	-1.630391e-01
4.250000e+00	-7.478652e-02
4.300000e+00	1.368089e-02
4.350000e+00	1.004507e-01
4.400000e+00	1.836109e-01
4.450000e+00	2.612500e-01
4.500000e+00	3.314781e-01
4.550000e+00	3.924748e-01
4.600000e+00	4.425588e-01
4.650000e+00	4.802674e-01
4.700000e+00	5.044286e-01
4.750000e+00	5.142131e-01
4.800000e+00	5.091546e-01
4.850000e+00	4.891420e-01
4.900000e+00	4.543922e-01
4.950000e+00	4.054219e-01
5.000000e+00	3.430388e-01


