"planar_mech"

"Time      "	".K.Translational_Velocity.Y"
0.000000e+00	1.250625e-01
5.000000e-02	1.068113e-01
1.000000e-01	9.166756e-02
1.500000e-01	7.911522e-02
2.000000e-01	6.820213e-02
2.500000e-01	5.770541e-02
3.000000e-01	4.632172e-02
3.500000e-01	3.285654e-02
4.000000e-01	1.639196e-02
4.500000e-01	-3.581577e-03
5.000000e-01	-2.707953e-02
5.500000e-01	-5.358908e-02
6.000000e-01	-8.208766e-02
6.500000e-01	-1.111091e-01
7.000000e-01	-1.388478e-01
7.500000e-01	-1.632872e-01
8.000000e-01	-1.823397e-01
8.500000e-01	-1.939904e-01
9.000000e-01	-1.964388e-01
9.500000e-01	-1.882449e-01
1.000000e+00	-1.684847e-01
1.050000e+00	-1.369174e-01
1.100000e+00	-9.414959e-02
1.150000e+00	-4.175436e-02
1.200000e+00	1.772230e-02
1.250000e+00	8.093252e-02
1.300000e+00	1.440903e-01
1.350000e+00	2.034578e-01
1.400000e+00	2.558181e-01
1.450000e+00	2.988045e-01
1.500000e+00	3.310274e-01
1.550000e+00	3.520260e-01
1.600000e+00	3.621166e-01
1.650000e+00	3.622058e-01
1.700000e+00	3.536096e-01
1.750000e+00	3.378922e-01
1.800000e+00	3.167237e-01
1.850000e+00	2.917512e-01
1.900000e+00	2.644835e-01
1.950000e+00	2.361932e-01
2.000000e+00	2.078436e-01
2.050000e+00	1.800484e-01
2.100000e+00	1.530681e-01
2.150000e+00	1.268431e-01
2.200000e+00	1.010589e-01
2.250000e+00	7.523495e-02
2.300000e+00	4.882741e-02
2.350000e+00	2.133674e-02
2.400000e+00	-7.589568e-03
2.450000e+00	-3.806785e-02
2.500000e+00	-6.991112e-02
2.550000e+00	-1.025913e-01
2.600000e+00	-1.352353e-01
2.650000e+00	-1.666567e-01
2.700000e+00	-1.954186e-01
2.750000e+00	-2.199219e-01
2.800000e+00	-2.385095e-01
2.850000e+00	-2.495804e-01
2.900000e+00	-2.517082e-01
2.950000e+00	-2.437672e-01
3.000000e+00	-2.250685e-01
3.050000e+00	-1.955070e-01
3.100000e+00	-1.557076e-01
3.150000e+00	-1.071338e-01
3.200000e+00	-5.210224e-02
3.250000e+00	6.353707e-03
3.300000e+00	6.478848e-02
3.350000e+00	1.197606e-01
3.400000e+00	1.682480e-01
3.450000e+00	2.079495e-01
3.500000e+00	2.374174e-01
3.550000e+00	2.560403e-01
3.600000e+00	2.639313e-01
3.650000e+00	2.617813e-01
3.700000e+00	2.507110e-01
3.750000e+00	2.321354e-01
3.800000e+00	2.076383e-01
3.850000e+00	1.788553e-01
3.900000e+00	1.473613e-01
3.950000e+00	1.145685e-01
4.000000e+00	8.164115e-02
4.050000e+00	4.943418e-02
4.100000e+00	1.846456e-02
4.150000e+00	-1.108347e-02
4.200000e+00	-3.931966e-02
4.250000e+00	-6.658053e-02
4.300000e+00	-9.334101e-02
4.350000e+00	-1.201134e-01
4.400000e+00	-1.473422e-01
4.450000e+00	-1.753045e-01
4.500000e+00	-2.040243e-01
4.550000e+00	-2.332114e-01
4.600000e+00	-2.622308e-01
4.650000e+00	-2.901083e-01
4.700000e+00	-3.155715e-01
4.750000e+00	-3.371225e-01
4.800000e+00	-3.531334e-01
4.850000e+00	-3.619601e-01
4.900000e+00	-3.620670e-01
4.950000e+00	-3.521673e-01
5.000000e+00	-3.313800e-01


