"planar_mech"

"Time      "	".K.Translational_Displacement.X"
0.000000e+00	5.465916e-01
5.000000e-02	5.287547e-01
1.000000e-01	5.158064e-01
1.500000e-01	5.081158e-01
2.000000e-01	5.059052e-01
2.500000e-01	5.092545e-01
3.000000e-01	5.181121e-01
3.500000e-01	5.323059e-01
4.000000e-01	5.515524e-01
4.500000e-01	5.754655e-01
5.000000e-01	6.035621e-01
5.500000e-01	6.352711e-01
6.000000e-01	6.699435e-01
6.500000e-01	7.068674e-01
7.000000e-01	7.452848e-01
7.500000e-01	7.844110e-01
8.000000e-01	8.234531e-01
8.500000e-01	8.616280e-01
9.000000e-01	8.981766e-01
9.500000e-01	9.323765e-01
1.000000e+00	9.635528e-01
1.050000e+00	9.910893e-01
1.100000e+00	1.014442e+00
1.150000e+00	1.033159e+00
1.200000e+00	1.046899e+00
1.250000e+00	1.055455e+00
1.300000e+00	1.058772e+00
1.350000e+00	1.056952e+00
1.400000e+00	1.050248e+00
1.450000e+00	1.039046e+00
1.500000e+00	1.023842e+00
1.550000e+00	1.005217e+00
1.600000e+00	9.838220e-01
1.650000e+00	9.603525e-01
1.700000e+00	9.355392e-01
1.750000e+00	9.101308e-01
1.800000e+00	8.848784e-01
1.850000e+00	8.605179e-01
1.900000e+00	8.377517e-01
1.950000e+00	8.172301e-01
2.000000e+00	7.995358e-01
2.050000e+00	7.851710e-01
2.100000e+00	7.745485e-01
2.150000e+00	7.679872e-01
2.200000e+00	7.657108e-01
2.250000e+00	7.678473e-01
2.300000e+00	7.744297e-01
2.350000e+00	7.853957e-01
2.400000e+00	8.005874e-01
2.450000e+00	8.197500e-01
2.500000e+00	8.425330e-01
2.550000e+00	8.684935e-01
2.600000e+00	8.971028e-01
2.650000e+00	9.277576e-01
2.700000e+00	9.597945e-01
2.750000e+00	9.925070e-01
2.800000e+00	1.025163e+00
2.850000e+00	1.057024e+00
2.900000e+00	1.087358e+00
2.950000e+00	1.115457e+00
3.000000e+00	1.140647e+00
3.050000e+00	1.162306e+00
3.100000e+00	1.179877e+00
3.150000e+00	1.192889e+00
3.200000e+00	1.200981e+00
3.250000e+00	1.203924e+00
3.300000e+00	1.201641e+00
3.350000e+00	1.194210e+00
3.400000e+00	1.181861e+00
3.450000e+00	1.164956e+00
3.500000e+00	1.143967e+00
3.550000e+00	1.119451e+00
3.600000e+00	1.092032e+00
3.650000e+00	1.062383e+00
3.700000e+00	1.031211e+00
3.750000e+00	9.992477e-01
3.800000e+00	9.672310e-01
3.850000e+00	9.358912e-01
3.900000e+00	9.059329e-01
3.950000e+00	8.780174e-01
4.000000e+00	8.527460e-01
4.050000e+00	8.306450e-01
4.100000e+00	8.121555e-01
4.150000e+00	7.976258e-01
4.200000e+00	7.873080e-01
4.250000e+00	7.813575e-01
4.300000e+00	7.798329e-01
4.350000e+00	7.826973e-01
4.400000e+00	7.898179e-01
4.450000e+00	8.009664e-01
4.500000e+00	8.158193e-01
4.550000e+00	8.339602e-01
4.600000e+00	8.548848e-01
4.650000e+00	8.780097e-01
4.700000e+00	9.026855e-01
4.750000e+00	9.282127e-01
4.800000e+00	9.538593e-01
4.850000e+00	9.788788e-01
4.900000e+00	1.002528e+00
4.950000e+00	1.024081e+00
5.000000e+00	1.042846e+00


