"planar_mech"

"Time      "	".K.Translational_Displacement.Y"
0.000000e+00	4.621575e-01
5.000000e-02	4.679410e-01
1.000000e-01	4.728908e-01
1.500000e-01	4.771512e-01
2.000000e-01	4.808298e-01
2.500000e-01	4.839784e-01
3.000000e-01	4.865854e-01
3.500000e-01	4.885758e-01
4.000000e-01	4.898209e-01
4.500000e-01	4.901562e-01
5.000000e-01	4.894037e-01
5.500000e-01	4.873978e-01
6.000000e-01	4.840114e-01
6.500000e-01	4.791801e-01
7.000000e-01	4.729217e-01
7.500000e-01	4.653503e-01
8.000000e-01	4.566828e-01
8.500000e-01	4.472398e-01
9.000000e-01	4.374374e-01
9.500000e-01	4.277735e-01
1.000000e+00	4.188060e-01
1.050000e+00	4.111223e-01
1.100000e+00	4.053015e-01
1.150000e+00	4.018684e-01
1.200000e+00	4.012445e-01
1.250000e+00	4.037031e-01
1.300000e+00	4.093369e-01
1.350000e+00	4.180487e-01
1.400000e+00	4.295654e-01
1.450000e+00	4.434737e-01
1.500000e+00	4.592659e-01
1.550000e+00	4.763889e-01
1.600000e+00	4.942864e-01
1.650000e+00	5.124337e-01
1.700000e+00	5.303621e-01
1.750000e+00	5.476759e-01
1.800000e+00	5.640605e-01
1.850000e+00	5.792849e-01
1.900000e+00	5.931975e-01
1.950000e+00	6.057164e-01
2.000000e+00	6.168160e-01
2.050000e+00	6.265102e-01
2.100000e+00	6.348346e-01
2.150000e+00	6.418297e-01
2.200000e+00	6.475264e-01
2.250000e+00	6.519350e-01
2.300000e+00	6.550401e-01
2.350000e+00	6.567996e-01
2.400000e+00	6.571497e-01
2.450000e+00	6.560146e-01
2.500000e+00	6.533200e-01
2.550000e+00	6.490094e-01
2.600000e+00	6.430613e-01
2.650000e+00	6.355061e-01
2.700000e+00	6.264399e-01
2.750000e+00	6.160351e-01
2.800000e+00	6.045463e-01
2.850000e+00	5.923096e-01
2.900000e+00	5.797375e-01
2.950000e+00	5.673068e-01
3.000000e+00	5.555404e-01
3.050000e+00	5.449814e-01
3.100000e+00	5.361608e-01
3.150000e+00	5.295574e-01
3.200000e+00	5.255554e-01
3.250000e+00	5.244045e-01
3.300000e+00	5.261905e-01
3.350000e+00	5.308254e-01
3.400000e+00	5.380580e-01
3.450000e+00	5.475032e-01
3.500000e+00	5.586819e-01
3.550000e+00	5.710638e-01
3.600000e+00	5.841068e-01
3.650000e+00	5.972894e-01
3.700000e+00	6.101361e-01
3.750000e+00	6.222353e-01
3.800000e+00	6.332509e-01
3.850000e+00	6.429277e-01
3.900000e+00	6.510913e-01
3.950000e+00	6.576423e-01
4.000000e+00	6.625461e-01
4.050000e+00	6.658187e-01
4.100000e+00	6.675103e-01
4.150000e+00	6.676890e-01
4.200000e+00	6.664240e-01
4.250000e+00	6.637733e-01
4.300000e+00	6.597743e-01
4.350000e+00	6.544390e-01
4.400000e+00	6.477553e-01
4.450000e+00	6.396924e-01
4.500000e+00	6.302120e-01
4.550000e+00	6.192820e-01
4.600000e+00	6.068935e-01
4.650000e+00	5.930778e-01
4.700000e+00	5.779227e-01
4.750000e+00	5.615858e-01
4.800000e+00	5.443028e-01
4.850000e+00	5.263922e-01
4.900000e+00	5.082523e-01
4.950000e+00	4.903525e-01
5.000000e+00	4.732173e-01


