"      test"

"Time      "	".bodyC2.CM_Acceleration.X"
0.000000e+00	0.000000e+00
5.000000e-02	-1.499996e-02
1.000000e-01	-5.999767e-02
1.500000e-01	-1.349734e-01
2.000000e-01	-2.398507e-01
2.500000e-01	-3.744305e-01
3.000000e-01	-5.383001e-01
3.500000e-01	-7.307158e-01
4.000000e-01	-9.504619e-01
4.500000e-01	-1.195687e+00
5.000000e-01	-1.463720e+00
5.500000e-01	-1.750875e+00
6.000000e-01	-2.052240e+00
6.500000e-01	-2.361476e+00
7.000000e-01	-2.670624e+00
7.500000e-01	-2.969935e+00
8.000000e-01	-3.247756e+00
8.500000e-01	-3.490472e+00
9.000000e-01	-3.682549e+00
9.500000e-01	-3.806692e+00
1.000000e+00	-3.844151e+00
1.050000e+00	-3.775204e+00
1.100000e+00	-3.579846e+00
1.150000e+00	-3.238698e+00
1.200000e+00	-2.734157e+00
1.250000e+00	-2.051783e+00
1.300000e+00	-1.181897e+00
1.350000e+00	-1.213731e-01
1.400000e+00	1.124479e+00
1.450000e+00	2.540002e+00
1.500000e+00	4.097416e+00


