"      test"

"Time      "	".bodyC2.CM_Acceleration.Y"
0.000000e+00	-2.000000e+00
5.000000e-02	-1.999969e+00
1.000000e-01	-1.999500e+00
1.500000e-01	-1.997469e+00
2.000000e-01	-1.992002e+00
2.500000e-01	-1.980480e+00
3.000000e-01	-1.959549e+00
3.500000e-01	-1.925138e+00
4.000000e-01	-1.872491e+00
4.500000e-01	-1.796227e+00
5.000000e-01	-1.690421e+00
5.500000e-01	-1.548721e+00
6.000000e-01	-1.364519e+00
6.500000e-01	-1.131163e+00
7.000000e-01	-8.422390e-01
7.500000e-01	-4.919180e-01
8.000000e-01	-7.537119e-02
8.500000e-01	4.107377e-01
9.000000e-01	9.676936e-01
9.500000e-01	1.594112e+00
1.000000e+00	2.285279e+00
1.050000e+00	3.032480e+00
1.100000e+00	3.822343e+00
1.150000e+00	4.636263e+00
1.200000e+00	5.449953e+00
1.250000e+00	6.233192e+00
1.300000e+00	6.949872e+00
1.350000e+00	7.558397e+00
1.400000e+00	8.012562e+00
1.450000e+00	8.262959e+00
1.500000e+00	8.259006e+00


