"      test"

"Time      "	".bodyC2.CM_Velocity.X"
0.000000e+00	0.000000e+00
5.000000e-02	-2.499997e-04
1.000000e-01	-1.999967e-03
1.500000e-01	-6.749430e-03
2.000000e-01	-1.599573e-02
2.500000e-01	-3.122966e-02
3.000000e-01	-5.392713e-02
3.500000e-01	-8.553570e-02
4.000000e-01	-1.274546e-01
4.500000e-01	-1.810070e-01
5.000000e-01	-2.474040e-01
5.500000e-01	-3.276984e-01
6.000000e-01	-4.227291e-01
6.500000e-01	-5.330545e-01
7.000000e-01	-6.588762e-01
7.500000e-01	-7.999540e-01
8.000000e-01	-9.555127e-01
8.500000e-01	-1.124146e+00
9.000000e-01	-1.303717e+00
9.500000e-01	-1.491269e+00
1.000000e+00	-1.682942e+00
1.050000e+00	-1.873911e+00
1.100000e+00	-2.058355e+00
1.150000e+00	-2.229465e+00
1.200000e+00	-2.379500e+00
1.250000e+00	-2.499914e+00
1.300000e+00	-2.581549e+00
1.350000e+00	-2.614922e+00
1.400000e+00	-2.590592e+00
1.450000e+00	-2.499639e+00
1.500000e+00	-2.334220e+00


