"      test"

"Time      "	".bodyC2.CM_Velocity.Y"
0.000000e+00	0.000000e+00
5.000000e-02	-9.999969e-02
1.000000e-01	-1.999900e-01
1.500000e-01	-2.999241e-01
2.000000e-01	-3.996800e-01
2.500000e-01	-4.990238e-01
3.000000e-01	-5.975716e-01
3.500000e-01	-6.947544e-01
4.000000e-01	-7.897818e-01
4.500000e-01	-8.816102e-01
5.000000e-01	-9.689124e-01
5.500000e-01	-1.050054e+00
6.000000e-01	-1.123076e+00
6.500000e-01	-1.185687e+00
7.000000e-01	-1.235266e+00
7.500000e-01	-1.268887e+00
8.000000e-01	-1.283353e+00
8.500000e-01	-1.275263e+00
9.000000e-01	-1.241097e+00
9.500000e-01	-1.177334e+00
1.000000e+00	-1.080605e+00
1.050000e+00	-9.478700e-01
1.100000e+00	-7.766427e-01
1.150000e+00	-5.652316e-01
1.200000e+00	-3.130169e-01
1.250000e+00	-2.074058e-02
1.300000e+00	3.091961e-01
1.350000e+00	6.724466e-01
1.400000e+00	1.062465e+00
1.450000e+00	1.470307e+00
1.500000e+00	1.884521e+00


