"      test"

"Time      "	".bodyC2.CM_Position.X"
0.000000e+00	1.000000e+00
5.000000e-02	9.999969e-01
1.000000e-01	9.999500e-01
1.500000e-01	9.997469e-01
2.000000e-01	9.992001e-01
2.500000e-01	9.980475e-01
3.000000e-01	9.959527e-01
3.500000e-01	9.925063e-01
4.000000e-01	9.872273e-01
4.500000e-01	9.795668e-01
5.000000e-01	9.689124e-01
5.500000e-01	9.545947e-01
6.000000e-01	9.358968e-01
6.500000e-01	9.120667e-01
7.000000e-01	8.823329e-01
7.500000e-01	8.459245e-01
8.000000e-01	8.020958e-01
8.500000e-01	7.501549e-01
9.000000e-01	6.894984e-01
9.500000e-01	6.196497e-01
1.000000e+00	5.403023e-01
1.050000e+00	4.513667e-01
1.100000e+00	3.530194e-01
1.150000e+00	2.457529e-01
1.200000e+00	1.304237e-01
1.250000e+00	8.296232e-03
1.300000e+00	-1.189216e-01
1.350000e+00	-2.490543e-01
1.400000e+00	-3.794518e-01
1.450000e+00	-5.070025e-01
1.500000e+00	-6.281736e-01


