"      test"

"Time      "	".bodyC2.CM_Position.Y"
0.000000e+00	3.330669e-16
5.000000e-02	-2.499997e-03
1.000000e-01	-9.999833e-03
1.500000e-01	-2.249810e-02
2.000000e-01	-3.998933e-02
2.500000e-01	-6.245932e-02
3.000000e-01	-8.987855e-02
3.500000e-01	-1.221939e-01
4.000000e-01	-1.593182e-01
4.500000e-01	-2.011189e-01
5.000000e-01	-2.474040e-01
5.500000e-01	-2.979076e-01
6.000000e-01	-3.522742e-01
6.500000e-01	-4.100419e-01
7.000000e-01	-4.706259e-01
7.500000e-01	-5.333027e-01
8.000000e-01	-5.971954e-01
8.500000e-01	-6.612621e-01
9.000000e-01	-7.242872e-01
9.500000e-01	-7.848785e-01
1.000000e+00	-8.414710e-01
1.050000e+00	-8.923386e-01
1.100000e+00	-9.356160e-01
1.150000e+00	-9.693325e-01
1.200000e+00	-9.914583e-01
1.250000e+00	-9.999656e-01
1.300000e+00	-9.929037e-01
1.350000e+00	-9.684895e-01
1.400000e+00	-9.252115e-01
1.450000e+00	-8.619446e-01
1.500000e+00	-7.780732e-01


