"      test"

"Time      "	".bodyC2.CM_Angular_Velocity.Z"
0.000000e+00	0.000000e+00
5.000000e-02	1.854212e+00
1.000000e-01	3.719121e+00
1.500000e-01	5.605130e+00
2.000000e-01	7.522050e+00
2.500000e-01	9.478787e+00
3.000000e-01	1.148300e+01
3.500000e-01	1.354073e+01
4.000000e-01	1.565596e+01
4.500000e-01	1.783011e+01
5.000000e-01	2.006140e+01
5.500000e-01	2.234402e+01
6.000000e-01	2.466701e+01
6.500000e-01	2.701267e+01
7.000000e-01	2.935412e+01
7.500000e-01	3.165166e+01
8.000000e-01	3.384671e+01
8.500000e-01	3.585186e+01
9.000000e-01	3.753356e+01
9.500000e-01	3.868178e+01
1.000000e+00	3.895635e+01
1.050000e+00	3.779558e+01
1.100000e+00	3.428549e+01
1.150000e+00	2.708581e+01
1.200000e+00	1.484486e+01
1.250000e+00	-2.217642e+00
1.300000e+00	-2.082701e+01
1.350000e+00	-3.685045e+01
1.400000e+00	-4.864467e+01
1.450000e+00	-5.672672e+01
1.500000e+00	-6.209375e+01


