"      test"

"Time      "	".bodyC2.CM_Angular_Acceleration.Z"
0.000000e+00	3.704840e+01
5.000000e-02	3.715585e+01
1.000000e-01	3.747528e+01
1.500000e-01	3.799788e+01
2.000000e-01	3.870873e+01
2.500000e-01	3.958640e+01
3.000000e-01	4.060239e+01
3.500000e-01	4.172017e+01
4.000000e-01	4.289390e+01
4.500000e-01	4.406642e+01
5.000000e-01	4.516620e+01
5.500000e-01	4.610270e+01
6.000000e-01	4.675884e+01
6.500000e-01	4.697896e+01
7.000000e-01	4.654870e+01
7.500000e-01	4.516078e+01
8.000000e-01	4.235553e+01
8.500000e-01	3.741481e+01
9.000000e-01	2.917010e+01
9.500000e-01	1.565492e+01
1.000000e+00	-6.498268e+00
1.050000e+00	-4.293668e+01
1.100000e+00	-1.020245e+02
1.150000e+00	-1.910179e+02
1.200000e+00	-2.986782e+02
1.250000e+00	-3.720223e+02
1.300000e+00	-3.570682e+02
1.350000e+00	-2.787607e+02
1.400000e+00	-1.953933e+02
1.450000e+00	-1.314133e+02
1.500000e+00	-8.577791e+01


